task_key,change,task,impl_provider,impl_model,impl_effort,n_impl_sessions,impl_total_tokens,impl_output_tokens,peak_context,n_compactions,n_tool_calls,brief_bytes,n_reviews,C1,C2,C3,C4,C5,C6,C7,composite,G1,G2,G3,G4,G5,n_critical,n_important,n_minor,rounds_to_accept,final_grade,ph_orient,ph_explore,ph_red,ph_green,ph_refactor,ph_verify,ph_debug,ph_selfcheck,ph_report,ph_other
midi-config-blocks__p4-task-4,midi-config-blocks,p4-task-4,claude,claude-sonnet-5,,1,24183077,48146,205084,0,96,,3,3,4,4,4,5,5,3,4.2,2,1,3,4,2,1,4,1,,F,226,23743,9188,5953,0,1221,1179,978,5658,0
midi-config-blocks__p4-task-5,midi-config-blocks,p4-task-5,claude,claude-sonnet-5,,1,5537455,13355,90116,0,46,,2,2,3,2,3,2,3,2,2.5,2,1,5,2,2,1,1,0,,F,226,3394,2956,0,0,983,512,1379,3905,0
midi-config-blocks__taskgroup-1,midi-config-blocks,taskgroup-1,claude,claude-sonnet-5,,1,48204087,101042,283648,0,139,,0,3,3,4,3,3,5,2,3.5,,,,,,,,,,,671,3796,0,52343,0,10373,8633,23591,1635,0
midi-config-blocks__taskgroup-2,midi-config-blocks,taskgroup-2,claude,claude-sonnet-5,,1,117374958,133873,428665,0,221,,0,2,5,4,3,3,5,4,3.7,,,,,,,,,,,653,8853,0,56043,0,21161,13698,29723,3742,0
midi-config-blocks__taskgroup-3,midi-config-blocks,taskgroup-3,claude,claude-sonnet-5,,1,28370608,39706,217773,0,104,,0,2,3,3,3,5,4,3,3.3,,,,,,,,,,,3,6450,8796,14608,0,827,1598,2519,4905,0
rename-shift-reset-add-random-modifiers__task-1,rename-shift-reset-add-random-modifiers,task-1,codex,gpt-5.5,high,2,4267094,26301,136050,0,69,,0,2,3,3,2,2,2,3,2.5,,,,,,,,,,,1894,8471,993,8732,0,1189,1633,1854,1102,383
rename-shift-reset-add-random-modifiers__task-3,rename-shift-reset-add-random-modifiers,task-3,codex,gpt-5.5,high,1,8058341,18813,156259,0,85,,0,4,4,3,3,3,4,3,3.5,,,,,,,,,,,1841,1183,1632,3285,0,927,3148,1047,556,2828
rename-shift-reset-add-random-modifiers__task-4,rename-shift-reset-add-random-modifiers,task-4,codex,gpt-5.5,high,1,3722023,23482,142663,0,39,,0,5,4,4,4,4,5,2,4.3,,,,,,,,,,,1533,1889,2545,8802,0,3865,597,70,995,720
restore-encoder-mouse-interaction__task-1,restore-encoder-mouse-interaction,task-1,codex,gpt-5.4,high,1,1094712,9212,55517,0,33,,1,3,3,3,2,2,2,1,2.5,5,4,5,4,5,0,0,2,1,A,1636,182,963,2263,0,230,259,231,2532,0
restore-encoder-mouse-interaction__task-2,restore-encoder-mouse-interaction,task-2,codex,gpt-5.4,high,1,1020886,6370,53759,0,31,,1,2,3,3,2,2,2,1,2.3,5,5,4,5,5,0,0,2,1,A,1339,740,336,1263,0,1082,0,0,676,0
restore-encoder-mouse-interaction__task-3,restore-encoder-mouse-interaction,task-3,codex,gpt-5.4,high,1,4357382,12895,94330,0,75,,2,2,3,3,4,3,3,1,3.0,5,3,3,3,5,0,1,7,2,C,1474,1652,1415,2860,0,1989,462,75,2593,0
restore-encoder-mouse-interaction__task-4,restore-encoder-mouse-interaction,task-4,codex,gpt-5.4,medium,1,1879337,5555,68166,0,39,,1,1,2,1,1,1,2,1,1.3,5,5,5,5,5,0,0,0,1,A,607,352,0,0,0,2061,0,0,1054,0
synchronize-absolute-encoder-feedback__task-1,synchronize-absolute-encoder-feedback,task-1,codex,gpt-5.6-sol,high,2,23080104,81947,226144,2,3,7655,3,4,5,4,4,4,4,2,4.2,5,5,3,5,5,0,0,6,1,B,10923,0,4414,1226,0,1271,4030,0,2046,5472
synchronize-absolute-encoder-feedback__task-2,synchronize-absolute-encoder-feedback,task-2,codex,gpt-5.6-sol,high,1,4536049,19203,144152,0,4,3228,1,3,4,5,4,4,4,3,4.0,,,,,,,,,,,5365,0,552,369,0,368,0,0,136,381
synchronize-absolute-encoder-feedback__task-3,synchronize-absolute-encoder-feedback,task-3,codex,gpt-5.6-sol,high,1,10041040,33911,175972,0,4,3706,1,3,5,5,4,4,4,2,4.2,5,5,4,3,5,0,0,3,1,B,5307,0,1280,4301,0,187,0,0,246,2833
synth-app-runtime__p2-task-1,synth-app-runtime,p2-task-1,claude,claude-haiku-4-5-20251001,,1,1167458,3022,36590,0,19,,1,2,2,2,1,1,1,1,1.5,5,5,5,5,5,0,0,0,1,A,1199,743,0,458,0,0,0,0,622,0
synth-app-runtime__p2-task-2,synth-app-runtime,p2-task-2,claude,claude-sonnet-5,,1,2269543,10675,61889,0,29,,3,2,3,3,2,2,2,2,2.3,4,3,4,2,5,0,2,0,2,C,113,2025,1938,1833,0,772,0,161,3833,0
synth-app-runtime__p2-task-3,synth-app-runtime,p2-task-3,claude,claude-sonnet-5,,1,8517139,21933,127779,0,56,,1,2,2,3,4,3,4,2,3.0,2,5,4,5,5,0,1,2,,C,267,2670,4301,7933,0,643,0,998,5121,0
synth-app-runtime__p2-task-4,synth-app-runtime,p2-task-4,claude,claude-sonnet-5,,1,12608425,28138,129969,0,84,,3,2,3,4,4,3,4,2,3.3,3,1,4,3,5,1,1,1,2,F,223,4023,8758,5082,0,1125,2803,1342,4782,0
synth-app-runtime__p2-task-5,synth-app-runtime,p2-task-5,claude,claude-sonnet-5,,1,15685374,29663,135182,0,95,,3,2,3,4,4,4,4,2,3.5,2,1,4,2,5,2,1,1,2,F,3026,7531,0,11714,0,3659,0,0,3733,0
synth-app-runtime__p2-task-6,synth-app-runtime,p2-task-6,claude,claude-sonnet-5,,1,9495510,17276,141540,0,58,,3,2,2,3,3,2,3,2,2.5,3,1,5,5,5,1,1,0,2,F,2,938,2,4220,0,3310,2,7882,920,0
synth-app-runtime__p2-task-7,synth-app-runtime,p2-task-7,claude,claude-sonnet-5,,1,8695144,19974,121566,0,56,,3,2,2,4,4,4,4,2,3.3,3,5,4,1,5,1,0,1,2,F,9,6296,3177,4129,0,384,25,1136,3784,1034
synth-app-runtime__p3-task-1,synth-app-runtime,p3-task-1,claude,claude-sonnet-5,,1,2519172,12886,64364,0,27,,3,3,3,2,2,4,2,3,2.7,3,3,4,5,5,0,1,1,2,B,215,7415,788,546,0,766,0,2738,418,0
synth-app-runtime__p3-task-2,synth-app-runtime,p3-task-2,claude,claude-sonnet-5,,1,9744472,18212,130934,0,60,,1,2,2,4,5,5,4,2,3.7,5,5,5,5,5,0,0,0,1,A,2,2203,3,6618,0,1809,545,6965,67,0
synth-app-runtime__p3-task-3,synth-app-runtime,p3-task-3,claude,claude-sonnet-5,,1,14124931,21132,153603,0,84,,3,2,3,3,4,5,4,2,3.5,2,1,4,5,5,1,1,1,2,F,14,7549,0,6641,0,975,0,476,2420,3057
synth-app-runtime__p3-task-4,synth-app-runtime,p3-task-4,claude,claude-sonnet-5,,1,4949709,14280,99551,0,41,,3,2,2,3,4,5,3,2,3.2,4,2,4,4,5,0,2,1,2,C,3,3366,0,948,0,312,0,147,5544,3960
synth-app-runtime__p3-task-5,synth-app-runtime,p3-task-5,claude,claude-sonnet-5,,1,21641807,31852,209840,0,90,,7,3,2,4,4,3,4,2,3.3,4,2,4,2,2,0,4,2,4,D,20,9393,0,4398,0,746,1,14,7708,9572
synth-app-runtime__p3-task-6,synth-app-runtime,p3-task-6,claude,claude-sonnet-5,,5,78574879,78936,260044,0,285,,1,5,5,3,5,5,4,4,4.5,5,5,4,4,5,0,0,1,1,A,3145,15272,289,16791,0,17353,7776,1639,5315,11356
synth-app-runtime__p4-task-1,synth-app-runtime,p4-task-1,claude,claude-sonnet-5,,1,9416706,27301,126723,0,61,,1,3,4,2,3,2,2,2,2.7,5,5,5,4,5,0,0,0,1,A,222,1918,2737,17215,0,648,0,271,4290,0
synth-app-runtime__p4-task-2,synth-app-runtime,p4-task-2,claude,claude-sonnet-5,,1,7789494,19922,112802,0,59,,5,3,4,4,4,4,4,3,3.8,2,1,5,3,4,2,2,0,3,F,18,4811,0,12368,0,0,0,316,1917,492
synth-app-runtime__p4-task-3,synth-app-runtime,p4-task-3,claude,claude-sonnet-5,,2,31600657,63490,184350,0,173,,6,2,4,4,4,5,4,3,3.8,2,1,4,4,3,2,2,2,4,F,318,14130,0,30810,2605,1337,232,1781,7217,5060
synth-app-runtime__p4-task-4,synth-app-runtime,p4-task-4,claude,claude-sonnet-5,,1,3575358,7801,76801,0,34,,1,2,3,2,3,4,2,2,2.7,5,5,4,4,5,0,0,1,1,A,2,1674,0,3219,0,519,388,63,1936,0
synth-app-runtime__task-1,synth-app-runtime,task-1,claude,claude-haiku-4-5-20251001,,1,1014034,5276,39629,0,15,,2,2,2,1,2,1,2,1,1.7,5,5,5,5,5,0,0,0,1,A,114,439,1447,1808,0,86,0,102,1280,0
synth-app-runtime__task-2,synth-app-runtime,task-2,claude,claude-sonnet-5,,1,1845946,9029,55503,0,24,,1,2,2,3,1,1,2,2,1.8,5,5,5,5,4,0,0,1,1,A,2,1018,1804,1685,440,364,553,346,2817,0
synth-app-runtime__task-3,synth-app-runtime,task-3,claude,claude-haiku-4-5-20251001,,1,1141322,4970,41541,0,18,,1,2,2,2,1,1,2,1,1.7,4,5,5,5,5,0,0,1,1,A,108,740,1135,1430,0,212,8,90,1247,0
synth-app-runtime__task-4,synth-app-runtime,task-4,claude,claude-sonnet-5,,2,4305856,22529,66840,0,50,,2,2,2,4,2,3,3,1,2.7,3,1,3,4,4,1,1,1,2,F,1648,4913,514,6748,0,162,0,2238,6306,0
synth-app-runtime__task-5,synth-app-runtime,task-5,claude,claude-sonnet-5,,1,1720361,4977,47679,0,27,,1,2,3,1,2,2,3,2,2.2,5,5,5,5,5,0,0,0,1,A,5,2161,0,1201,0,0,0,143,544,923
synth-app-runtime__unmatched,synth-app-runtime,unmatched,claude,claude-sonnet-5,,1,60544039,65135,255220,0,234,,3,4,4,4,4,4,5,4,4.2,2,1,2,2,3,1,10,7,3,F,4310,16171,0,19057,0,13862,5304,0,6431,0
synth-parameter-modulation__task-1,synth-parameter-modulation,task-1,codex,gpt-5.4-mini,medium,1,728753,7140,65461,0,17,,0,3,2,2,1,1,2,3,1.8,,,,,,,,,,,269,1238,893,950,0,256,297,0,1184,0
unify-agent-review-source-rendering__task-3,unify-agent-review-source-rendering,task-3,codex,gpt-5.5,high,1,1445586,10363,88955,0,31,,0,2,4,3,3,4,3,2,3.2,,,,,,,,,,,644,1768,0,4857,0,1146,157,1034,757,0
unify-agent-review-source-rendering__task-4,unify-agent-review-source-rendering,task-4,codex,gpt-5.5,high,1,5121247,31059,129560,0,75,,0,3,4,4,4,4,4,2,3.8,,,,,,,,,,,746,3095,1562,3871,2917,5252,8177,2697,1031,0
unify-agent-review-source-rendering__task-5,unify-agent-review-source-rendering,task-5,codex,gpt-5.5,high,1,2592117,15213,80801,0,48,,0,1,3,2,3,4,3,3,2.7,,,,,,,,,,,240,3803,2427,780,0,2675,2734,2137,247,0
unify-agent-review-source-rendering__task-6,unify-agent-review-source-rendering,task-6,codex,gpt-5.5,high,1,807250,4570,51758,0,23,,0,1,2,1,2,3,3,1,2.0,,,,,,,,,,,389,1079,623,416,0,329,785,481,247,0
unify-agent-review-source-rendering__task-7,unify-agent-review-source-rendering,task-7,codex,gpt-5.5,high,1,678775,4588,67779,0,27,,0,3,3,2,3,3,4,3,3.0,,,,,,,,,,,374,1566,739,328,0,509,576,0,496,0
unify-agent-review-source-rendering__task-8,unify-agent-review-source-rendering,task-8,codex,gpt-5.5,high,1,,,0,0,0,,0,2,3,1,2,1,4,1,2.2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
wt:d37c__task-1,wt:d37c,task-1,codex,gpt-5.5,high,1,1945997,8958,76528,0,42,,1,3,3,3,3,3,3,3,3.0,5,5,4,5,5,0,0,1,1,A,928,859,502,0,0,929,0,840,380,0
wt:d37c__task-2,wt:d37c,task-2,codex,gpt-5.5,high,1,1996276,11478,88976,0,37,,1,5,4,4,4,3,4,2,4.0,5,5,3,5,5,0,0,3,1,A,1072,480,1248,3423,298,1131,1583,854,1389,0
wt:d37c__task-3,wt:d37c,task-3,codex,gpt-5.5,high,1,2659038,15307,103239,0,52,,1,4,5,4,4,3,4,2,4.0,5,5,3,5,5,0,0,3,1,A,862,1328,3832,4417,772,1497,0,1224,1375,0
wt:d37c__task-4,wt:d37c,task-4,codex,gpt-5.5,high,1,2503932,15673,96870,0,50,,1,5,4,4,5,5,5,2,4.7,5,5,4,5,5,0,0,2,1,A,875,1359,2812,1698,309,1187,497,473,1725,0
wt:d37c__task-5,wt:d37c,task-5,codex,gpt-5.5,high,1,2232634,13648,95191,0,43,,1,3,4,2,2,1,4,2,2.7,5,5,4,5,5,0,0,2,1,A,1089,738,2621,4455,0,2123,0,259,2363,0
wt:d37c__unmatched,wt:d37c,unmatched,codex,gpt-5.5,high,1,2530002,9336,87513,0,55,,0,,,,,,,,,,,,,,,,,,,948,406,1640,1225,866,1171,1025,0,1936,0
